time,open,close,high,low
2014-07-01 00:00:00,1.01311,1.01391,1.01391,1.01297,0
2014-07-01 00:30:00,1.01391,1.01455,1.01466,1.01376,0
2014-07-01 01:00:00,1.01455,1.01440,1.01466,1.01424,0
2014-07-01 01:30:00,1.01442,1.01486,1.01487,1.01410,0
2014-07-01 02:00:00,1.01487,1.01477,1.01500,1.01454,0
2014-07-01 02:30:00,1.01477,1.01512,1.01534,1.01474,0
2014-07-01 03:00:00,1.01511,1.01512,1.01523,1.01492,0
2014-07-01 03:30:00,1.01510,1.01481,1.01531,1.01470,0
2014-07-01 04:00:00,1.01482,1.01464,1.01487,1.01426,0
2014-07-01 04:30:00,1.01463,1.01444,1.01464,1.01396,0
2014-07-01 05:00:00,1.01444,1.01435,1.01444,1.01403,0
2014-07-01 05:30:00,1.01434,1.01471,1.01488,1.01432,0
2014-07-01 06:00:00,1.01472,1.01453,1.01478,1.01448,0
2014-07-01 06:30:00,1.01453,1.01451,1.01477,1.01438,0
2014-07-01 07:00:00,1.01452,1.01492,1.01493,1.01439,0
2014-07-01 07:30:00,1.01491,1.01518,1.01522,1.01472,0
2014-07-01 08:00:00,1.01517,1.01524,1.01545,1.01504,0
2014-07-01 08:30:00,1.01524,1.01524,1.01534,1.01499,0
2014-07-01 09:00:00,1.01524,1.01532,1.01573,1.01523,0
2014-07-01 09:30:00,1.01532,1.01582,1.01595,1.01531,0
2014-07-01 10:00:00,1.01582,1.01593,1.01594,1.01572,0
2014-07-01 10:30:00,1.01592,1.01582,1.01592,1.01571,0
2014-07-01 11:00:00,1.01583,1.01575,1.01583,1.01544,0
2014-07-01 11:30:00,1.01574,1.01523,1.01576,1.01514,0
2014-07-01 12:00:00,1.01522,1.01550,1.01566,1.01503,0
2014-07-01 12:30:00,1.01550,1.01508,1.01561,1.01506,0
2014-07-01 13:00:00,1.01508,1.01516,1.01520,1.01472,0
2014-07-01 13:30:00,1.01516,1.01548,1.01552,1.01507,0
2014-07-01 14:00:00,1.01548,1.01490,1.01569,1.01453,0
2014-07-01 14:30:00,1.01491,1.01530,1.01560,1.01490,0
2014-07-01 15:00:00,1.01529,1.01485,1.01537,1.01479,0
2014-07-01 15:30:00,1.01486,1.01518,1.01525,1.01485,0
2014-07-01 16:00:00,1.01517,1.01500,1.01518,1.01484,0
2014-07-01 16:30:00,1.01500,1.01529,1.01533,1.01495,0
2014-07-01 17:00:00,1.01530,1.01549,1.01562,1.01516,0
2014-07-01 17:30:00,1.01549,1.01537,1.01560,1.01526,0
2014-07-01 18:00:00,1.01538,1.01541,1.01551,1.01534,0
2014-07-01 18:30:00,1.01540,1.01519,1.01543,1.01517,0
2014-07-01 19:00:00,1.01519,1.01539,1.01544,1.01516,0
2014-07-01 19:30:00,1.01538,1.01543,1.01560,1.01536,0
2014-07-01 20:00:00,1.01541,1.01539,1.01549,1.01533,0
2014-07-01 20:30:00,1.01540,1.01525,1.01549,1.01522,0
2014-07-01 21:00:00,1.01526,1.01552,1.01569,1.01524,0
2014-07-01 21:30:00,1.01552,1.01555,1.01563,1.01543,0
2014-07-01 22:00:00,1.01553,1.01542,1.01555,1.01524,0
2014-07-01 22:30:00,1.01541,1.01548,1.01556,1.01536,0
2014-07-01 23:00:00,1.01548,1.01556,1.01559,1.01543,0
2014-07-01 23:30:00,1.01557,1.01555,1.01581,1.01552,0
2014-07-02 00:00:00,1.01556,1.01591,1.01617,1.01552,0
2014-07-02 00:30:00,1.01590,1.01598,1.01617,1.01571,0
2014-07-02 01:00:00,1.01599,1.01596,1.01603,1.01574,0
2014-07-02 01:30:00,1.01596,1.01616,1.01633,1.01596,0
2014-07-02 02:00:00,1.01616,1.01627,1.01653,1.01616,0
2014-07-02 02:30:00,1.01627,1.01608,1.01636,1.01606,0
2014-07-02 03:00:00,1.01608,1.01594,1.01619,1.01592,0
2014-07-02 03:30:00,1.01594,1.01614,1.01626,1.01579,0
2014-07-02 04:00:00,1.01614,1.01602,1.01618,1.01589,0
2014-07-02 04:30:00,1.01601,1.01601,1.01613,1.01590,0
2014-07-02 05:00:00,1.01602,1.01598,1.01620,1.01595,0
2014-07-02 05:30:00,1.01598,1.01568,1.01604,1.01564,0
2014-07-02 06:00:00,1.01568,1.01566,1.01574,1.01549,0
2014-07-02 06:30:00,1.01565,1.01530,1.01565,1.01510,0
2014-07-02 07:00:00,1.01529,1.01514,1.01530,1.01482,0
2014-07-02 07:30:00,1.01514,1.01500,1.01524,1.01469,0
2014-07-02 08:00:00,1.01500,1.01500,1.01524,1.01490,0
2014-07-02 08:30:00,1.01501,1.01477,1.01522,1.01466,0
2014-07-02 09:00:00,1.01478,1.01430,1.01478,1.01413,0
2014-07-02 09:30:00,1.01430,1.01450,1.01464,1.01414,0
2014-07-02 10:00:00,1.01449,1.01442,1.01467,1.01432,0
2014-07-02 10:30:00,1.01442,1.01460,1.01460,1.01435,0
2014-07-02 11:00:00,1.01460,1.01480,1.01493,1.01458,0
2014-07-02 11:30:00,1.01480,1.01476,1.01496,1.01473,0
2014-07-02 12:00:00,1.01476,1.01683,1.01705,1.01470,0
2014-07-02 12:30:00,1.01683,1.01706,1.01740,1.01677,0
2014-07-02 13:00:00,1.01707,1.01727,1.01737,1.01693,0
2014-07-02 13:30:00,1.01725,1.01786,1.01787,1.01707,0
2014-07-02 14:00:00,1.01786,1.01760,1.01786,1.01741,0
2014-07-02 14:30:00,1.01760,1.01762,1.01786,1.01738,0
2014-07-02 15:00:00,1.01763,1.01768,1.01779,1.01746,0
2014-07-02 15:30:00,1.01767,1.01764,1.01767,1.01744,0
2014-07-02 16:00:00,1.01763,1.01810,1.01810,1.01763,0
2014-07-02 16:30:00,1.01812,1.01800,1.01842,1.01791,0
2014-07-02 17:00:00,1.01800,1.01818,1.01819,1.01780,0
2014-07-02 17:30:00,1.01817,1.01838,1.01844,1.01810,0
2014-07-02 18:00:00,1.01839,1.01838,1.01843,1.01821,0
2014-07-02 18:30:00,1.01838,1.01827,1.01845,1.01823,0
2014-07-02 19:00:00,1.01827,1.01820,1.01827,1.01816,0
2014-07-02 19:30:00,1.01819,1.01783,1.01822,1.01769,0
2014-07-02 20:00:00,1.01784,1.01785,1.01804,1.01758,0
2014-07-02 20:30:00,1.01785,1.01784,1.01792,1.01759,0
2014-07-02 21:00:00,1.01782,1.01787,1.01809,1.01772,0
2014-07-02 21:30:00,1.01786,1.01776,1.01789,1.01767,0
2014-07-02 22:00:00,1.01775,1.01787,1.01789,1.01769,0
2014-07-02 22:30:00,1.01788,1.01776,1.01790,1.01773,0
2014-07-02 23:00:00,1.01776,1.01786,1.01789,1.01772,0
2014-07-02 23:30:00,1.01786,1.01835,1.01848,1.01780,0
2014-07-03 00:00:00,1.01835,1.01813,1.01856,1.01787,0
2014-07-03 00:30:00,1.01813,1.01855,1.01856,1.01785,0
2014-07-03 01:00:00,1.01854,1.01888,1.01944,1.01854,0
2014-07-03 01:30:00,1.01888,1.01897,1.01925,1.01859,0
2014-07-03 02:00:00,1.01897,1.01881,1.01916,1.01879,0
2014-07-03 02:30:00,1.01881,1.01885,1.01886,1.01860,0
2014-07-03 03:00:00,1.01885,1.01876,1.01888,1.01859,0
2014-07-03 03:30:00,1.01876,1.01862,1.01884,1.01843,0
2014-07-03 04:00:00,1.01862,1.01843,1.01863,1.01818,0
2014-07-03 04:30:00,1.01843,1.01873,1.01876,1.01842,0
2014-07-03 05:00:00,1.01872,1.01902,1.01904,1.01864,0
2014-07-03 05:30:00,1.01901,1.01878,1.01903,1.01877,0
2014-07-03 06:00:00,1.01880,1.01878,1.01907,1.01860,0
2014-07-03 06:30:00,1.01879,1.01892,1.01910,1.01868,0
2014-07-03 07:00:00,1.01892,1.01919,1.01946,1.01875,0
2014-07-03 07:30:00,1.01919,1.01925,1.01940,1.01897,0
2014-07-03 08:00:00,1.01926,1.01933,1.01941,1.01918,0
2014-07-03 08:30:00,1.01932,1.01945,1.01957,1.01928,0
2014-07-03 09:00:00,1.01945,1.01940,1.01951,1.01917,0
2014-07-03 09:30:00,1.01941,1.01936,1.01956,1.01934,0
2014-07-03 10:00:00,1.01936,1.01915,1.01959,1.01904,0
2014-07-03 10:30:00,1.01914,1.01871,1.01922,1.01866,0
2014-07-03 11:00:00,1.01871,1.01897,1.01928,1.01871,0
2014-07-03 11:30:00,1.01897,1.01896,1.01909,1.01879,0
2014-07-03 12:00:00,1.01896,1.01972,1.01976,1.01880,0
2014-07-03 12:30:00,1.01964,1.02197,1.02239,1.01964,0
2014-07-03 13:00:00,1.02198,1.02225,1.02225,1.02176,0
2014-07-03 13:30:00,1.02225,1.02268,1.02270,1.02192,0
2014-07-03 14:00:00,1.02268,1.02161,1.02273,1.02124,0
2014-07-03 14:30:00,1.02159,1.02189,1.02213,1.02158,0
2014-07-03 15:00:00,1.02188,1.02215,1.02229,1.02183,0
2014-07-03 15:30:00,1.02215,1.02196,1.02225,1.02193,0
2014-07-03 16:00:00,1.02197,1.02192,1.02201,1.02170,0
2014-07-03 16:30:00,1.02192,1.02203,1.02213,1.02189,0
2014-07-03 17:00:00,1.02205,1.02207,1.02216,1.02198,0
2014-07-03 17:30:00,1.02205,1.02207,1.02213,1.02199,0
2014-07-03 18:00:00,1.02207,1.02209,1.02217,1.02203,0
2014-07-03 18:30:00,1.02209,1.02197,1.02217,1.02195,0
2014-07-03 19:00:00,1.02198,1.02184,1.02208,1.02178,0
2014-07-03 19:30:00,1.02184,1.02195,1.02199,1.02182,0
2014-07-03 20:00:00,1.02195,1.02182,1.02197,1.02180,0
2014-07-03 20:30:00,1.02182,1.02196,1.02199,1.02180,0
2014-07-03 21:00:00,1.02198,1.02197,1.02222,1.02190,0
2014-07-03 21:30:00,1.02196,1.02208,1.02214,1.02196,0
2014-07-03 22:00:00,1.02209,1.02212,1.02214,1.02204,0
2014-07-03 22:30:00,1.02212,1.02221,1.02224,1.02209,0
2014-07-03 23:00:00,1.02221,1.02209,1.02221,1.02198,0
2014-07-03 23:30:00,1.02209,1.02208,1.02222,1.02196,0
2014-07-04 00:00:00,1.02208,1.02145,1.02217,1.02140,0
2014-07-04 00:30:00,1.02146,1.02156,1.02164,1.02125,0
2014-07-04 01:00:00,1.02155,1.02149,1.02175,1.02136,0
2014-07-04 01:30:00,1.02149,1.02138,1.02152,1.02125,0
2014-07-04 02:00:00,1.02136,1.02131,1.02155,1.02123,0
2014-07-04 02:30:00,1.02131,1.02142,1.02143,1.02127,0
2014-07-04 03:00:00,1.02143,1.02128,1.02143,1.02124,0
2014-07-04 03:30:00,1.02128,1.02120,1.02129,1.02098,0
2014-07-04 04:00:00,1.02120,1.02086,1.02122,1.02080,0
2014-07-04 04:30:00,1.02086,1.02061,1.02091,1.02059,0
2014-07-04 05:00:00,1.02060,1.02030,1.02070,1.02018,0
2014-07-04 05:30:00,1.02030,1.02042,1.02042,1.02010,0
2014-07-04 06:00:00,1.02042,1.02049,1.02060,1.02021,0
2014-07-04 06:30:00,1.02050,1.02083,1.02083,1.02048,0
2014-07-04 07:00:00,1.02083,1.02060,1.02087,1.02055,0
2014-07-04 07:30:00,1.02058,1.02012,1.02064,1.01974,0
2014-07-04 08:00:00,1.02012,1.02040,1.02044,1.01996,0
2014-07-04 08:30:00,1.02040,1.02059,1.02065,1.02033,0
2014-07-04 09:00:00,1.02057,1.02057,1.02068,1.02050,0
2014-07-04 09:30:00,1.02057,1.02056,1.02075,1.02041,0
2014-07-04 10:00:00,1.02056,1.02065,1.02066,1.02042,0
2014-07-04 10:30:00,1.02066,1.02062,1.02074,1.02055,0
2014-07-04 11:00:00,1.02063,1.02063,1.02077,1.02056,0
2014-07-04 11:30:00,1.02063,1.02062,1.02068,1.02048,0
2014-07-04 12:00:00,1.02061,1.02058,1.02072,1.02051,0
2014-07-04 12:30:00,1.02059,1.02061,1.02067,1.02051,0
2014-07-04 13:00:00,1.02062,1.02062,1.02063,1.02051,0
2014-07-04 13:30:00,1.02062,1.02082,1.02088,1.02057,0
2014-07-04 14:00:00,1.02083,1.02084,1.02097,1.02077,0
2014-07-04 14:30:00,1.02084,1.02069,1.02085,1.02061,0
2014-07-04 15:00:00,1.02068,1.02072,1.02086,1.02049,0
2014-07-04 15:30:00,1.02074,1.02067,1.02091,1.02064,0
2014-07-04 16:00:00,1.02066,1.02086,1.02093,1.02066,0
2014-07-04 16:30:00,1.02087,1.02080,1.02089,1.02067,0
2014-07-04 17:00:00,1.02078,1.02084,1.02091,1.02078,0
2014-07-04 17:30:00,1.02084,1.02080,1.02084,1.02071,0
2014-07-04 18:00:00,1.02081,1.02057,1.02082,1.02053,0
2014-07-04 18:30:00,1.02056,1.02065,1.02065,1.02056,0
2014-07-04 19:00:00,1.02065,1.02084,1.02084,1.02064,0
2014-07-04 19:30:00,1.02083,1.02064,1.02084,1.02064,0
2014-07-04 20:00:00,1.02063,1.02057,1.02071,1.02054,0
2014-07-04 20:30:00,1.02055,1.02125,1.02137,1.02055,0
2014-07-07 00:00:00,1.02121,1.02144,1.02144,1.02102,0
2014-07-07 00:30:00,1.02144,1.02165,1.02204,1.02144,0
2014-07-07 01:00:00,1.02165,1.02170,1.02179,1.02151,0
2014-07-07 01:30:00,1.02169,1.02173,1.02183,1.02156,0
2014-07-07 02:00:00,1.02174,1.02149,1.02176,1.02146,0
2014-07-07 02:30:00,1.02149,1.02151,1.02157,1.02147,0
2014-07-07 03:00:00,1.02152,1.02149,1.02154,1.02141,0
2014-07-07 03:30:00,1.02149,1.02146,1.02153,1.02138,0
2014-07-07 04:00:00,1.02147,1.02126,1.02147,1.02114,0
2014-07-07 04:30:00,1.02125,1.02117,1.02135,1.02114,0
2014-07-07 05:00:00,1.02117,1.02105,1.02123,1.02105,0
2014-07-07 05:30:00,1.02102,1.02109,1.02119,1.02092,0
2014-07-07 06:00:00,1.02107,1.02090,1.02119,1.02089,0
2014-07-07 06:30:00,1.02090,1.02105,1.02123,1.02086,0
2014-07-07 07:00:00,1.02105,1.02117,1.02147,1.02102,0
2014-07-07 07:30:00,1.02117,1.02051,1.02117,1.02046,0
2014-07-07 08:00:00,1.02051,1.02024,1.02057,1.02010,0
2014-07-07 08:30:00,1.02023,1.01943,1.02027,1.01921,0
2014-07-07 09:00:00,1.01943,1.01952,1.01954,1.01923,0
2014-07-07 09:30:00,1.01952,1.01922,1.01953,1.01906,0
2014-07-07 10:00:00,1.01921,1.01948,1.01949,1.01915,0
2014-07-07 10:30:00,1.01947,1.01936,1.01956,1.01927,0
2014-07-07 11:00:00,1.01936,1.01937,1.01963,1.01926,0
2014-07-07 11:30:00,1.01937,1.01926,1.01943,1.01917,0
2014-07-07 12:00:00,1.01927,1.01874,1.01931,1.01823,0
2014-07-07 12:30:00,1.01874,1.01900,1.01908,1.01835,0
2014-07-07 13:00:00,1.01899,1.01888,1.01909,1.01885,0
2014-07-07 13:30:00,1.01889,1.01863,1.01889,1.01833,0
2014-07-07 14:00:00,1.01863,1.01863,1.01877,1.01842,0
2014-07-07 14:30:00,1.01863,1.01846,1.01867,1.01829,0
2014-07-07 15:00:00,1.01847,1.01856,1.01866,1.01833,0
2014-07-07 15:30:00,1.01857,1.01844,1.01864,1.01842,0
2014-07-07 16:00:00,1.01843,1.01851,1.01858,1.01837,0
2014-07-07 16:30:00,1.01850,1.01843,1.01859,1.01831,0
2014-07-07 17:00:00,1.01843,1.01807,1.01847,1.01788,0
2014-07-07 17:30:00,1.01806,1.01866,1.01877,1.01806,0
2014-07-07 18:00:00,1.01868,1.01873,1.01889,1.01861,0
2014-07-07 18:30:00,1.01874,1.01854,1.01883,1.01854,0
2014-07-07 19:00:00,1.01857,1.01847,1.01861,1.01834,0
2014-07-07 19:30:00,1.01847,1.01853,1.01856,1.01845,0
2014-07-07 20:00:00,1.01852,1.01860,1.01873,1.01848,0
2014-07-07 20:30:00,1.01860,1.01867,1.01882,1.01853,0
2014-07-07 21:00:00,1.01865,1.01880,1.01904,1.01858,0
2014-07-07 21:30:00,1.01880,1.01875,1.01884,1.01875,0
2014-07-07 22:00:00,1.01875,1.01861,1.01891,1.01854,0
2014-07-07 22:30:00,1.01861,1.01838,1.01877,1.01836,0
2014-07-07 23:00:00,1.01838,1.01820,1.01849,1.01800,0
2014-07-07 23:30:00,1.01820,1.01822,1.01825,1.01792,0
2014-07-08 00:00:00,1.01822,1.01723,1.01822,1.01690,0
2014-07-08 00:30:00,1.01723,1.01753,1.01763,1.01711,0
2014-07-08 01:00:00,1.01752,1.01761,1.01767,1.01740,0
2014-07-08 01:30:00,1.01762,1.01801,1.01814,1.01750,0
2014-07-08 02:00:00,1.01801,1.01793,1.01804,1.01770,0
2014-07-08 02:30:00,1.01792,1.01783,1.01794,1.01778,0
2014-07-08 03:00:00,1.01783,1.01789,1.01792,1.01774,0
2014-07-08 03:30:00,1.01788,1.01837,1.01837,1.01788,0
2014-07-08 04:00:00,1.01836,1.01820,1.01847,1.01817,0
2014-07-08 04:30:00,1.01820,1.01813,1.01835,1.01808,0
2014-07-08 05:00:00,1.01813,1.01772,1.01817,1.01768,0
2014-07-08 05:30:00,1.01773,1.01814,1.01826,1.01772,0
2014-07-08 06:00:00,1.01814,1.01829,1.01855,1.01813,0
2014-07-08 06:30:00,1.01828,1.01845,1.01864,1.01828,0
2014-07-08 07:00:00,1.01845,1.01774,1.01851,1.01750,0
2014-07-08 07:30:00,1.01774,1.01808,1.01811,1.01761,0
2014-07-08 08:00:00,1.01809,1.01760,1.01818,1.01747,0
2014-07-08 08:30:00,1.01760,1.01730,1.01792,1.01718,0
2014-07-08 09:00:00,1.01731,1.01752,1.01759,1.01725,0
2014-07-08 09:30:00,1.01752,1.01730,1.01769,1.01726,0
2014-07-08 10:00:00,1.01730,1.01748,1.01748,1.01716,0
2014-07-08 10:30:00,1.01747,1.01722,1.01755,1.01720,0
2014-07-08 11:00:00,1.01722,1.01739,1.01751,1.01719,0
2014-07-08 11:30:00,1.01738,1.01728,1.01739,1.01714,0
2014-07-08 12:00:00,1.01729,1.01709,1.01739,1.01708,0
2014-07-08 12:30:00,1.01709,1.01688,1.01715,1.01684,0
