time,Open,Close,High,Low,Volume
2004-01-01 22:00:00,1.07410,1.07412,1.07416,1.07406,0
2004-01-01 22:30:00,1.07210,1.07270,1.07295,1.07205,0
2004-01-01 23:00:00,1.07265,1.07270,1.07275,1.07205,0
2004-01-01 23:30:00,1.07213,1.07265,1.07273,1.07205,0
2004-01-01 00:00:00,1.07214,1.07210,1.07273,1.07202,0
2004-01-01 00:30:00,1.07265,1.07265,1.07273,1.07205,0
2004-01-01 01:00:00,1.07205,1.07205,1.07275,1.07203,0
2004-01-01 01:30:00,1.07270,1.07270,1.07273,1.07203,0
2004-01-01 02:00:00,1.07266,1.07210,1.07275,1.07205,0
2004-01-01 02:30:00,1.07265,1.07273,1.07278,1.07203,0
2004-01-01 03:00:00,1.07357,1.07205,1.07360,1.07203,0
2004-01-01 03:30:00,1.07270,1.07275,1.07275,1.07205,0
2004-01-01 04:00:00,1.07205,1.07285,1.07285,1.07203,0
2004-01-01 04:30:00,1.07205,1.07265,1.07285,1.07205,0
2004-01-01 05:00:00,1.07216,1.07213,1.07287,1.07203,0
2004-01-01 05:30:00,1.07272,1.07280,1.07282,1.07202,0
2004-01-01 06:00:00,1.07210,1.07280,1.07280,1.07205,0
2004-01-01 06:30:00,1.07212,1.07283,1.07285,1.07205,0
2004-01-01 07:00:00,1.07212,1.07205,1.07285,1.07205,0
2004-01-01 07:30:00,1.07280,1.07275,1.07283,1.07202,0
2004-01-01 08:00:00,1.07210,1.07205,1.07285,1.07205,0
2004-01-01 08:30:00,1.07275,1.07055,1.07373,1.07055,0
2004-01-01 09:00:00,1.07205,1.07282,1.07285,1.07205,0
2004-01-01 09:30:00,1.07205,1.07280,1.07285,1.07203,0
2004-01-01 10:00:00,1.07207,1.07275,1.07285,1.07205,0
2004-01-01 10:30:00,1.07210,1.07282,1.07282,1.07205,0
2004-01-01 11:00:00,1.07205,1.07205,1.07285,1.07203,0
2004-01-01 11:30:00,1.07220,1.07205,1.07287,1.06972,0
2004-01-01 12:00:00,1.07275,1.07210,1.07285,1.07203,0
2004-01-01 12:30:00,1.07280,1.07207,1.07285,1.07203,0
2004-01-01 13:00:00,1.07275,1.07275,1.07285,1.07205,0
2004-01-01 13:30:00,1.07205,1.07159,1.07280,1.07159,0
2004-01-01 14:00:00,1.07162,1.07435,1.07450,1.07153,0
2004-01-01 14:30:00,1.07437,1.07413,1.07437,1.07365,0
2004-01-01 15:00:00,1.07427,1.07333,1.07427,1.07299,0
2004-01-01 15:30:00,1.07312,1.07365,1.07373,1.07278,0
2004-01-01 16:00:00,1.07360,1.07360,1.07365,1.07304,0
2004-01-01 16:30:00,1.07342,1.07374,1.07377,1.07203,0
2004-01-01 17:00:00,1.07371,1.07451,1.07478,1.07333,0
2004-01-01 17:30:00,1.07464,1.07446,1.07479,1.07405,0
2004-01-01 18:00:00,1.07437,1.07283,1.07443,1.07276,0
2004-01-01 18:30:00,1.07285,1.07290,1.07340,1.07275,0
2004-01-01 19:00:00,1.07311,1.07278,1.07336,1.07259,0
2004-01-01 19:30:00,1.07296,1.07322,1.07353,1.07260,0
2004-01-02 00:00:00,1.07290,1.07273,1.07360,1.07233,0
2004-01-02 00:30:00,1.07285,1.07301,1.07387,1.07262,0
2004-01-02 01:00:00,1.07354,1.07390,1.07495,1.07302,0
2004-01-02 01:30:00,1.07397,1.07304,1.07411,1.07283,0
2004-01-02 02:00:00,1.07308,1.07385,1.07413,1.07239,0
2004-01-02 02:30:00,1.07383,1.07327,1.07404,1.07315,0
2004-01-02 03:00:00,1.07310,1.06904,1.07355,1.06904,0
2004-01-02 03:30:00,1.06923,1.06918,1.06970,1.06884,0
2004-01-02 04:00:00,1.06913,1.06921,1.06968,1.06873,0
2004-01-02 04:30:00,1.06915,1.06906,1.06937,1.06824,0
2004-01-02 05:00:00,1.06931,1.06937,1.06970,1.06861,0
2004-01-02 05:30:00,1.06963,1.06909,1.06963,1.06835,0
2004-01-02 06:00:00,1.06927,1.06898,1.06981,1.06887,0
2004-01-02 06:30:00,1.06913,1.06909,1.06939,1.06874,0
2004-01-02 07:00:00,1.06915,1.06907,1.06974,1.06720,0
2004-01-02 07:30:00,1.06913,1.06918,1.06974,1.06805,0
2004-01-02 08:00:00,1.06905,1.06874,1.06939,1.06842,0
2004-01-02 08:30:00,1.06872,1.06865,1.06928,1.06854,0
2004-01-02 09:00:00,1.06930,1.06883,1.06933,1.06840,0
2004-01-02 09:30:00,1.06886,1.06913,1.06945,1.06796,0
2004-01-02 10:00:00,1.06885,1.06920,1.06922,1.06839,0
2004-01-02 10:30:00,1.06900,1.06900,1.06938,1.06847,0
2004-01-02 11:00:00,1.06892,1.06950,1.06961,1.06852,0
2004-01-02 11:30:00,1.06908,1.06958,1.07018,1.06890,0
2004-01-02 12:00:00,1.06945,1.06919,1.06990,1.06893,0
2004-01-02 12:30:00,1.06916,1.06948,1.06986,1.06896,0
2004-01-02 13:00:00,1.06902,1.06933,1.06987,1.06848,0
