time,Open,Close,High,Low,Volume
2014-01-01 22:00:00,1.37637,1.37533,1.37674,1.37422,0
2014-01-01 22:30:00,1.37524,1.37651,1.37668,1.37505,0
2014-01-01 23:00:00,1.37651,1.37673,1.37754,1.37645,0
2014-01-01 23:30:00,1.37676,1.37667,1.37732,1.37638,0
2014-01-02 00:00:00,1.37667,1.37621,1.37703,1.37620,0
2014-01-02 00:30:00,1.37618,1.37594,1.37658,1.37590,0
2014-01-02 01:00:00,1.37595,1.37526,1.37615,1.37516,0
2014-01-02 01:30:00,1.37526,1.37643,1.37665,1.37513,0
2014-01-02 02:00:00,1.37642,1.37659,1.37680,1.37611,0
2014-01-02 02:30:00,1.37658,1.37665,1.37674,1.37644,0
2014-01-02 03:00:00,1.37667,1.37677,1.37755,1.37648,0
2014-01-02 03:30:00,1.37679,1.37664,1.37681,1.37638,0
2014-01-02 04:00:00,1.37665,1.37542,1.37665,1.37530,0
2014-01-02 04:30:00,1.37545,1.37464,1.37559,1.37448,0
2014-01-02 05:00:00,1.37464,1.37497,1.37498,1.37448,0
2014-01-02 05:30:00,1.37497,1.37576,1.37587,1.37493,0
2014-01-02 06:00:00,1.37575,1.37574,1.37586,1.37537,0
2014-01-02 06:30:00,1.37573,1.37510,1.37574,1.37474,0
2014-01-02 07:00:00,1.37509,1.37484,1.37539,1.37426,0
2014-01-02 07:30:00,1.37484,1.37323,1.37489,1.37257,0
2014-01-02 08:00:00,1.37320,1.37191,1.37330,1.37163,0
2014-01-02 08:30:00,1.37190,1.37274,1.37417,1.37182,0
2014-01-02 09:00:00,1.37277,1.37282,1.37375,1.37230,0
2014-01-02 09:30:00,1.37281,1.37296,1.37430,1.37227,0
2014-01-02 10:00:00,1.37296,1.37229,1.37330,1.37204,0
2014-01-02 10:30:00,1.37227,1.37243,1.37291,1.37209,0
2014-01-02 11:00:00,1.37242,1.36893,1.37243,1.36844,0
2014-01-02 11:30:00,1.36893,1.36893,1.36954,1.36845,0
2014-01-02 12:00:00,1.36895,1.36681,1.36895,1.36660,0
2014-01-02 12:30:00,1.36681,1.36482,1.36691,1.36378,0
2014-01-02 13:00:00,1.36481,1.36427,1.36617,1.36419,0
2014-01-02 13:30:00,1.36435,1.36516,1.36526,1.36359,0
2014-01-02 14:00:00,1.36516,1.36496,1.36577,1.36443,0
2014-01-02 14:30:00,1.36495,1.36466,1.36572,1.36437,0
2014-01-02 15:00:00,1.36464,1.36442,1.36600,1.36367,0
2014-01-02 15:30:00,1.36442,1.36579,1.36600,1.36299,0
2014-01-02 16:00:00,1.36577,1.36562,1.36686,1.36550,0
2014-01-02 16:30:00,1.36562,1.36700,1.36774,1.36562,0
2014-01-02 17:00:00,1.36699,1.36661,1.36758,1.36629,0
2014-01-02 17:30:00,1.36661,1.36747,1.36754,1.36638,0
2014-01-02 18:00:00,1.36745,1.36735,1.36760,1.36674,0
2014-01-02 18:30:00,1.36735,1.36678,1.36761,1.36678,0
2014-01-02 19:00:00,1.36678,1.36621,1.36695,1.36612,0
2014-01-02 19:30:00,1.36622,1.36521,1.36648,1.36512,0
