time,open,close,high,low
2006-04-02 21:00:00,1.17805,1.17790,1.17805,1.17782,0
2006-04-02 21:30:00,1.17787,1.17725,1.17792,1.17695,0
2006-04-02 22:00:00,1.17716,1.17656,1.17732,1.17642,0
2006-04-02 22:30:00,1.17655,1.17671,1.17685,1.17597,0
2006-04-02 23:00:00,1.17678,1.17663,1.17770,1.17642,0
2006-04-02 23:30:00,1.17672,1.17920,1.17951,1.17603,0
2006-04-04 00:00:00,1.17737,1.17877,1.17923,1.17696,0
2006-04-04 00:30:00,1.17878,1.17897,1.17945,1.17839,0
2006-04-04 01:00:00,1.17903,1.17835,1.17911,1.17832,0
2006-04-04 01:30:00,1.17845,1.17917,1.17922,1.17816,0
2006-04-04 02:00:00,1.17910,1.17754,1.17910,1.17623,0
2006-04-04 02:30:00,1.17763,1.17765,1.17828,1.17725,0
2006-04-04 03:00:00,1.17768,1.17850,1.17880,1.17753,0
2006-04-04 03:30:00,1.17845,1.17835,1.17868,1.17818,0
2006-04-04 04:00:00,1.17835,1.17675,1.17835,1.17627,0
2006-04-04 04:30:00,1.17667,1.17605,1.17672,1.17569,0
2006-04-04 05:00:00,1.17603,1.17680,1.17716,1.17601,0
2006-04-04 05:30:00,1.17678,1.17676,1.17687,1.17610,0
2006-04-04 06:00:00,1.17672,1.17630,1.17683,1.17614,0
2006-04-04 06:30:00,1.17640,1.17733,1.17733,1.17589,0
2006-04-04 07:00:00,1.17731,1.17678,1.17776,1.17666,0
2006-04-04 07:30:00,1.17679,1.17519,1.17684,1.17519,0
2006-04-04 08:00:00,1.17515,1.17642,1.17693,1.17389,0
2006-04-04 08:30:00,1.17638,1.17604,1.17657,1.17510,0
2006-04-04 09:00:00,1.17593,1.17580,1.17600,1.17530,0
2006-04-04 09:30:00,1.17579,1.17611,1.17642,1.17447,0
2006-04-04 10:00:00,1.17602,1.17742,1.17756,1.17596,0
2006-04-04 10:30:00,1.17738,1.17751,1.17798,1.17731,0
2006-04-04 11:00:00,1.17756,1.17677,1.17775,1.17669,0
2006-04-04 11:30:00,1.17675,1.17553,1.17689,1.17517,0
2006-04-04 12:00:00,1.17548,1.17406,1.17652,1.17353,0
2006-04-04 12:30:00,1.17424,1.17575,1.17600,1.17385,0
2006-04-04 13:00:00,1.17578,1.17433,1.17671,1.17381,0
2006-04-04 13:30:00,1.17427,1.17327,1.17450,1.17245,0
2006-04-04 14:00:00,1.17316,1.17383,1.17490,1.17288,0
2006-04-04 14:30:00,1.17360,1.17472,1.17492,1.17360,0
2006-04-04 15:00:00,1.17479,1.17401,1.17501,1.17401,0
2006-04-04 15:30:00,1.17400,1.17450,1.17487,1.17397,0
2006-04-04 16:00:00,1.17456,1.17515,1.17543,1.17436,0
2006-04-04 16:30:00,1.17514,1.17500,1.17514,1.17427,0
2006-04-04 17:00:00,1.17504,1.17510,1.17570,1.17476,0
2006-04-04 17:30:00,1.17513,1.17409,1.17515,1.17409,0
2006-04-04 18:00:00,1.17410,1.17407,1.17453,1.17393,0
2006-04-04 18:30:00,1.17412,1.17402,1.17470,1.17385,0
2006-04-04 19:00:00,1.17404,1.17433,1.17456,1.17399,0
2006-04-04 19:30:00,1.17430,1.17440,1.17468,1.17423,0
2006-04-04 20:00:00,1.17440,1.17477,1.17477,1.17416,0
2006-04-04 20:30:00,1.17470,1.17550,1.17555,1.17457,0
2006-04-04 21:00:00,1.17554,1.17576,1.17598,1.17527,0
2006-04-04 21:30:00,1.17573,1.17541,1.17576,1.17522,0
2006-04-04 22:00:00,1.17528,1.17369,1.17530,1.17362,0
2006-04-04 22:30:00,1.17367,1.17468,1.17512,1.17363,0
2006-04-04 23:00:00,1.17465,1.17503,1.17518,1.17430,0
2006-04-04 23:30:00,1.17515,1.17457,1.17532,1.17410,0
2006-04-05 00:00:00,1.17456,1.17320,1.17481,1.17320,0
2006-04-05 00:30:00,1.17297,1.17399,1.17410,1.17266,0
2006-04-05 01:00:00,1.17401,1.17150,1.17401,1.17098,0
2006-04-05 01:30:00,1.17155,1.17135,1.17185,1.17101,0
2006-04-05 02:00:00,1.17122,1.17044,1.17171,1.16994,0
2006-04-05 02:30:00,1.17042,1.17092,1.17165,1.17035,0
2006-04-05 03:00:00,1.17086,1.16900,1.17095,1.16870,0
2006-04-05 03:30:00,1.16897,1.16876,1.16923,1.16828,0
2006-04-05 04:00:00,1.16886,1.16823,1.16906,1.16797,0
2006-04-05 04:30:00,1.16822,1.16761,1.16862,1.16693,0
2006-04-05 05:00:00,1.16769,1.16763,1.16779,1.16700,0
2006-04-05 05:30:00,1.16770,1.16954,1.16966,1.16767,0
2006-04-05 06:00:00,1.16947,1.16891,1.16949,1.16838,0
2006-04-05 06:30:00,1.16888,1.16760,1.16888,1.16754,0
2006-04-05 07:00:00,1.16757,1.16810,1.16836,1.16686,0
