time,open,close,high,low
2010-01-03 22:00:00,0.93005,0.93095,0.93105,0.93005,0
2010-01-03 22:30:00,0.93105,0.92945,0.93110,0.92900,0
2010-01-03 23:00:00,0.92950,0.92845,0.93030,0.92765,0
2010-01-03 23:30:00,0.92845,0.92755,0.92845,0.92705,0
2010-01-04 00:00:00,0.92755,0.92805,0.92900,0.92755,0
2010-01-04 00:30:00,0.92800,0.92905,0.92970,0.92785,0
2010-01-04 01:00:00,0.92905,0.92965,0.92980,0.92900,0
2010-01-04 01:30:00,0.92965,0.92985,0.93085,0.92950,0
2010-01-04 02:00:00,0.92985,0.92890,0.92985,0.92855,0
2010-01-04 02:30:00,0.92895,0.92880,0.92935,0.92855,0
2010-01-04 03:00:00,0.92880,0.92910,0.92910,0.92855,0
2010-01-04 03:30:00,0.92910,0.92760,0.92925,0.92730,0
2010-01-04 04:00:00,0.92760,0.92780,0.92795,0.92740,0
2010-01-04 04:30:00,0.92780,0.92750,0.92800,0.92730,0
2010-01-04 05:00:00,0.92750,0.92775,0.92810,0.92740,0
2010-01-04 05:30:00,0.92775,0.92880,0.92880,0.92765,0
2010-01-04 06:00:00,0.92875,0.92910,0.92970,0.92755,0
2010-01-04 06:30:00,0.92905,0.93060,0.93070,0.92875,0
2010-01-04 07:00:00,0.93050,0.93070,0.93105,0.93035,0
2010-01-04 07:30:00,0.93070,0.93045,0.93220,0.93030,0
2010-01-04 08:00:00,0.93040,0.92975,0.93065,0.92910,0
2010-01-04 08:30:00,0.92975,0.92860,0.92975,0.92830,0
2010-01-04 09:00:00,0.92860,0.92830,0.92870,0.92760,0
2010-01-04 09:30:00,0.92835,0.92810,0.92865,0.92730,0
2010-01-04 10:00:00,0.92805,0.92830,0.92845,0.92790,0
2010-01-04 10:30:00,0.92835,0.92945,0.92945,0.92810,0
2010-01-04 11:00:00,0.92945,0.92810,0.92950,0.92760,0
2010-01-04 11:30:00,0.92810,0.92800,0.92820,0.92760,0
2010-01-04 12:00:00,0.92800,0.92870,0.92885,0.92780,0
2010-01-04 12:30:00,0.92870,0.92865,0.92930,0.92820,0
2010-01-04 13:00:00,0.92865,0.92835,0.92910,0.92805,0
2010-01-04 13:30:00,0.92835,0.92650,0.92850,0.92620,0
2010-01-04 14:00:00,0.92650,0.92550,0.92655,0.92485,0
2010-01-04 14:30:00,0.92550,0.92620,0.92730,0.92540,0
2010-01-04 15:00:00,0.92620,0.92390,0.92745,0.92350,0
2010-01-04 15:30:00,0.92385,0.92360,0.92450,0.92195,0
2010-01-04 16:00:00,0.92350,0.92535,0.92570,0.92320,0
2010-01-04 16:30:00,0.92535,0.92565,0.92595,0.92480,0
2010-01-04 17:00:00,0.92565,0.92670,0.92675,0.92500,0
2010-01-04 17:30:00,0.92670,0.92700,0.92700,0.92610,0
2010-01-04 18:00:00,0.92700,0.92625,0.92700,0.92605,0
2010-01-04 18:30:00,0.92630,0.92615,0.92665,0.92570,0
2010-01-04 19:00:00,0.92615,0.92540,0.92620,0.92500,0
2010-01-04 19:30:00,0.92540,0.92605,0.92610,0.92540,0
2010-01-04 20:00:00,0.92595,0.92545,0.92630,0.92530,0
2010-01-04 20:30:00,0.92545,0.92590,0.92590,0.92520,0
2010-01-04 21:00:00,0.92590,0.92575,0.92605,0.92550,0
2010-01-04 21:30:00,0.92575,0.92520,0.92575,0.92510,0
2010-01-04 22:00:00,0.92520,0.92500,0.92560,0.92490,0
2010-01-04 22:30:00,0.92500,0.92425,0.92510,0.92395,0
2010-01-04 23:00:00,0.92430,0.92510,0.92550,0.92420,0
2010-01-04 23:30:00,0.92510,0.92490,0.92520,0.92450,0
2010-01-05 00:00:00,0.92490,0.92490,0.92520,0.92350,0
2010-01-05 00:30:00,0.92490,0.92370,0.92495,0.92340,0
2010-01-05 01:00:00,0.92370,0.92275,0.92385,0.92125,0
2010-01-05 01:30:00,0.92275,0.92275,0.92335,0.92250,0
2010-01-05 02:00:00,0.92275,0.92265,0.92320,0.92230,0
2010-01-05 02:30:00,0.92270,0.92250,0.92290,0.92195,0
2010-01-05 03:00:00,0.92250,0.92170,0.92270,0.92150,0
2010-01-05 03:30:00,0.92175,0.92165,0.92200,0.92135,0
2010-01-05 04:00:00,0.92165,0.92030,0.92190,0.91995,0
2010-01-05 04:30:00,0.92035,0.91710,0.92040,0.91640,0
