time,open,close,high,low
2005-07-01 00:00:00,1.10740,1.10678,1.10792,1.10621,0
2005-07-01 00:30:00,1.10680,1.10842,1.10853,1.10623,0
2005-07-01 01:00:00,1.10855,1.11107,1.11113,1.10823,0
2005-07-01 01:30:00,1.11109,1.10986,1.11109,1.10894,0
2005-07-01 02:00:00,1.10973,1.10975,1.11010,1.10940,0
2005-07-01 02:30:00,1.10975,1.10875,1.10981,1.10866,0
2005-07-01 03:00:00,1.10860,1.10936,1.10941,1.10859,0
2005-07-01 03:30:00,1.10910,1.10910,1.10958,1.10885,0
2005-07-01 04:00:00,1.10920,1.10894,1.10932,1.10832,0
2005-07-01 04:30:00,1.10891,1.11010,1.11095,1.10854,0
2005-07-01 05:00:00,1.11005,1.11042,1.11085,1.10985,0
2005-07-01 05:30:00,1.11050,1.11060,1.11086,1.10968,0
2005-07-01 06:00:00,1.11074,1.11032,1.11163,1.11004,0
2005-07-01 06:30:00,1.11032,1.11207,1.11250,1.11032,0
2005-07-01 07:00:00,1.11191,1.11195,1.11226,1.11078,0
2005-07-01 07:30:00,1.11183,1.11103,1.11244,1.11103,0
2005-07-01 08:00:00,1.11090,1.11018,1.11119,1.11004,0
2005-07-01 08:30:00,1.11005,1.11047,1.11093,1.10987,0
2005-07-01 09:00:00,1.11052,1.10819,1.11057,1.10777,0
2005-07-01 09:30:00,1.10807,1.10765,1.10812,1.10660,0
2005-07-01 10:00:00,1.10753,1.10882,1.10942,1.10735,0
2005-07-01 10:30:00,1.10882,1.10948,1.11003,1.10880,0
2005-07-01 11:00:00,1.10947,1.11024,1.11099,1.10925,0
2005-07-01 11:30:00,1.11022,1.11087,1.11110,1.10973,0
2005-07-01 12:00:00,1.11062,1.11116,1.11135,1.11022,0
2005-07-01 12:30:00,1.11130,1.11165,1.11195,1.11128,0
2005-07-01 13:00:00,1.11157,1.11195,1.11259,1.11129,0
2005-07-01 13:30:00,1.11197,1.11253,1.11308,1.11164,0
2005-07-01 14:00:00,1.11250,1.11612,1.11663,1.11250,0
2005-07-01 14:30:00,1.11606,1.11657,1.11694,1.11443,0
2005-07-01 15:00:00,1.11672,1.11588,1.11685,1.11559,0
2005-07-01 15:30:00,1.11600,1.11676,1.11723,1.11574,0
2005-07-01 16:00:00,1.11702,1.11586,1.11808,1.11578,0
2005-07-01 16:30:00,1.11587,1.11645,1.11722,1.11563,0
2005-07-01 17:00:00,1.11653,1.11693,1.11730,1.11649,0
2005-07-01 17:30:00,1.11698,1.11695,1.11758,1.11661,0
2005-07-01 18:00:00,1.11700,1.11770,1.11809,1.11693,0
2005-07-01 18:30:00,1.11770,1.11766,1.11809,1.11707,0
2005-07-01 19:00:00,1.11733,1.11723,1.11788,1.11692,0
2005-07-01 19:30:00,1.11726,1.11745,1.11804,1.11714,0
2005-07-01 20:00:00,1.11761,1.11797,1.11810,1.11731,0
2005-07-01 20:30:00,1.11765,1.11807,1.11827,1.11753,0
2005-07-03 21:00:00,1.11791,1.11687,1.11791,1.11635,0
2005-07-03 21:30:00,1.11680,1.11773,1.11834,1.11653,0
2005-07-03 22:00:00,1.11791,1.11880,1.11917,1.11769,0
2005-07-03 22:30:00,1.11875,1.11709,1.11905,1.11705,0
2005-07-03 23:00:00,1.11713,1.11677,1.11773,1.11661,0
