time,open,close,high,low
2007-04-01 21:00:00,1.17980,1.17850,1.17990,1.17770,0
2007-04-01 21:30:00,1.17850,1.17790,1.17880,1.17710,0
2007-04-01 22:00:00,1.17770,1.17870,1.17870,1.17770,0
2007-04-01 22:30:00,1.17860,1.17910,1.17910,1.17860,0
2007-04-01 23:00:00,1.17910,1.17870,1.17950,1.17860,0
2007-04-01 23:30:00,1.17860,1.17860,1.17930,1.17850,0
2007-04-03 00:00:00,1.17850,1.17850,1.17930,1.17780,0
2007-04-03 00:30:00,1.17850,1.17780,1.17870,1.17760,0
2007-04-03 01:00:00,1.17780,1.17780,1.17800,1.17730,0
2007-04-03 01:30:00,1.17780,1.17820,1.17850,1.17760,0
2007-04-03 02:00:00,1.17820,1.17820,1.17850,1.17800,0
2007-04-03 02:30:00,1.17820,1.17820,1.17840,1.17800,0
2007-04-03 03:00:00,1.17820,1.17900,1.17920,1.17820,0
2007-04-03 03:30:00,1.17900,1.17975,1.18020,1.17890,0
2007-04-03 04:00:00,1.17970,1.17965,1.17985,1.17870,0
2007-04-03 04:30:00,1.17960,1.18050,1.18070,1.17950,0
2007-04-03 05:00:00,1.18050,1.18125,1.18160,1.18000,0
2007-04-03 05:30:00,1.18130,1.18190,1.18210,1.18090,0
2007-04-03 06:00:00,1.18190,1.18240,1.18290,1.18150,0
2007-04-03 06:30:00,1.18250,1.18300,1.18300,1.18160,0
2007-04-03 07:00:00,1.18300,1.18265,1.18355,1.18210,0
2007-04-03 07:30:00,1.18260,1.18530,1.18595,1.18250,0
2007-04-03 08:00:00,1.18530,1.18495,1.18540,1.18430,0
2007-04-03 08:30:00,1.18490,1.18480,1.18520,1.18420,0
2007-04-03 09:00:00,1.18480,1.18640,1.18695,1.18470,0
2007-04-03 09:30:00,1.18630,1.18585,1.18645,1.18540,0
2007-04-03 10:00:00,1.18585,1.18625,1.18650,1.18580,0
2007-04-03 10:30:00,1.18620,1.18630,1.18675,1.18600,0
2007-04-03 11:00:00,1.18630,1.18580,1.18640,1.18570,0
2007-04-03 11:30:00,1.18580,1.18635,1.18675,1.18580,0
2007-04-03 12:00:00,1.18630,1.18780,1.18840,1.18620,0
2007-04-03 12:30:00,1.18780,1.18685,1.18800,1.18680,0
2007-04-03 13:00:00,1.18685,1.18660,1.18715,1.18640,0
2007-04-03 13:30:00,1.18660,1.18690,1.18745,1.18660,0
2007-04-03 14:00:00,1.18690,1.18730,1.18790,1.18680,0
2007-04-03 14:30:00,1.18730,1.18790,1.18820,1.18710,0
2007-04-03 15:00:00,1.18790,1.18785,1.18845,1.18750,0
2007-04-03 15:30:00,1.18785,1.18840,1.18880,1.18770,0
2007-04-03 16:00:00,1.18840,1.18795,1.18875,1.18790,0
2007-04-03 16:30:00,1.18795,1.18860,1.18875,1.18765,0
2007-04-03 17:00:00,1.18860,1.18870,1.18880,1.18810,0
2007-04-03 17:30:00,1.18875,1.18900,1.18910,1.18835,0
2007-04-03 18:00:00,1.18900,1.18845,1.18925,1.18800,0
2007-04-03 18:30:00,1.18845,1.18890,1.18930,1.18835,0
2007-04-03 19:00:00,1.18890,1.18920,1.18930,1.18890,0
2007-04-03 19:30:00,1.18920,1.18960,1.18985,1.18915,0
2007-04-03 20:00:00,1.18960,1.18980,1.18990,1.18960,0
2007-04-03 20:30:00,1.18980,1.18980,1.18985,1.18930,0
2007-04-03 21:00:00,1.18980,1.18960,1.19010,1.18945,0
2007-04-03 21:30:00,1.18960,1.18935,1.18990,1.18925,0
2007-04-03 22:00:00,1.18935,1.18870,1.18935,1.18860,0
2007-04-03 22:30:00,1.18870,1.18870,1.18890,1.18845,0
2007-04-03 23:00:00,1.18880,1.18790,1.18880,1.18780,0
2007-04-03 23:30:00,1.18790,1.18895,1.18950,1.18755,0
2007-04-05 00:00:00,1.18690,1.18605,1.18720,1.18585,0
2007-04-05 00:30:00,1.18605,1.18680,1.18695,1.18580,0
2007-04-05 01:00:00,1.18685,1.18675,1.18700,1.18640,0
2007-04-05 01:30:00,1.18675,1.18630,1.18675,1.18610,0
2007-04-05 02:00:00,1.18630,1.18555,1.18645,1.18500,0
2007-04-05 02:30:00,1.18550,1.18570,1.18605,1.18505,0
2007-04-05 03:00:00,1.18570,1.18595,1.18625,1.18565,0
2007-04-05 03:30:00,1.18580,1.18620,1.18650,1.18580,0
2007-04-05 04:00:00,1.18620,1.18685,1.18695,1.18610,0
2007-04-05 04:30:00,1.18680,1.18665,1.18740,1.18640,0
2007-04-05 05:00:00,1.18660,1.18620,1.18695,1.18590,0
2007-04-05 05:30:00,1.18620,1.18710,1.18775,1.18580,0
2007-04-05 06:00:00,1.18715,1.18700,1.18745,1.18670,0
2007-04-05 06:30:00,1.18700,1.18750,1.18785,1.18640,0
2007-04-05 07:00:00,1.18755,1.18790,1.18790,1.18680,0
2007-04-05 07:30:00,1.18790,1.18740,1.18790,1.18700,0
2007-04-05 08:00:00,1.18740,1.18835,1.18875,1.18730,0
2007-04-05 08:30:00,1.18835,1.18770,1.18855,1.18760,0
2007-04-05 09:00:00,1.18780,1.18780,1.18850,1.18700,0
2007-04-05 09:30:00,1.18780,1.18720,1.18795,1.18680,0
