time,open,close,high,low
2013-07-01 00:00:00,0.99451,0.99250,0.99470,0.99181,0
2013-07-01 00:30:00,0.99250,0.99396,0.99425,0.99229,0
2013-07-01 01:00:00,0.99395,0.99321,0.99399,0.99252,0
2013-07-01 01:30:00,0.99323,0.99298,0.99428,0.99266,0
2013-07-01 02:00:00,0.99297,0.99308,0.99364,0.99266,0
2013-07-01 02:30:00,0.99307,0.99300,0.99344,0.99277,0
2013-07-01 03:00:00,0.99297,0.99298,0.99329,0.99262,0
2013-07-01 03:30:00,0.99299,0.99310,0.99356,0.99243,0
2013-07-01 04:00:00,0.99311,0.99367,0.99404,0.99297,0
2013-07-01 04:30:00,0.99366,0.99363,0.99397,0.99330,0
2013-07-01 05:00:00,0.99362,0.99391,0.99395,0.99331,0
2013-07-01 05:30:00,0.99390,0.99452,0.99488,0.99376,0
2013-07-01 06:00:00,0.99453,0.99453,0.99477,0.99391,0
2013-07-01 06:30:00,0.99454,0.99505,0.99567,0.99434,0
2013-07-01 07:00:00,0.99505,0.99659,0.99678,0.99502,0
2013-07-01 07:30:00,0.99657,0.99603,0.99723,0.99595,0
2013-07-01 08:00:00,0.99603,0.99583,0.99631,0.99531,0
2013-07-01 08:30:00,0.99581,0.99586,0.99627,0.99546,0
2013-07-01 09:00:00,0.99588,0.99584,0.99625,0.99575,0
2013-07-01 09:30:00,0.99585,0.99586,0.99615,0.99565,0
2013-07-01 10:00:00,0.99587,0.99589,0.99604,0.99533,0
2013-07-01 10:30:00,0.99589,0.99620,0.99632,0.99539,0
2013-07-01 11:00:00,0.99620,0.99627,0.99659,0.99612,0
2013-07-01 11:30:00,0.99628,0.99683,0.99704,0.99610,0
2013-07-01 12:00:00,0.99683,0.99699,0.99741,0.99643,0
2013-07-01 12:30:00,0.99701,0.99672,0.99746,0.99672,0
2013-07-01 13:00:00,0.99675,0.99712,0.99730,0.99668,0
2013-07-01 13:30:00,0.99712,0.99732,0.99766,0.99698,0
2013-07-01 14:00:00,0.99730,0.99780,0.99871,0.99710,0
2013-07-01 14:30:00,0.99780,0.99730,0.99807,0.99692,0
2013-07-01 15:00:00,0.99734,0.99736,0.99780,0.99694,0
2013-07-01 15:30:00,0.99735,0.99621,0.99735,0.99595,0
2013-07-01 16:00:00,0.99623,0.99681,0.99703,0.99621,0
