time,open,close,high,low
2009-01-01 22:00:00,0.90790,0.90875,0.90995,0.90655,0
2009-01-01 22:30:00,0.90870,0.90915,0.90935,0.90850,0
2009-01-01 23:00:00,0.90915,0.90800,0.90915,0.90730,0
2009-01-01 23:30:00,0.90790,0.90730,0.90805,0.90690,0
2009-01-02 00:00:00,0.90710,0.90750,0.90795,0.90680,0
2009-01-02 00:30:00,0.90755,0.90770,0.90845,0.90705,0
2009-01-02 01:00:00,0.90780,0.90740,0.90825,0.90715,0
2009-01-02 01:30:00,0.90740,0.90840,0.90850,0.90725,0
2009-01-02 02:00:00,0.90850,0.90880,0.90900,0.90725,0
2009-01-02 02:30:00,0.90880,0.90900,0.90920,0.90830,0
2009-01-02 03:00:00,0.90900,0.90920,0.90960,0.90880,0
2009-01-02 03:30:00,0.90930,0.91050,0.91090,0.90870,0
2009-01-02 04:00:00,0.91045,0.91190,0.91190,0.90985,0
2009-01-02 04:30:00,0.91185,0.91110,0.91195,0.91070,0
2009-01-02 05:00:00,0.91090,0.91125,0.91185,0.91040,0
2009-01-02 05:30:00,0.91110,0.91165,0.91200,0.91110,0
2009-01-02 06:00:00,0.91170,0.91110,0.91190,0.91100,0
2009-01-02 06:30:00,0.91125,0.91190,0.91200,0.91115,0
2009-01-02 07:00:00,0.91190,0.91295,0.91305,0.91190,0
2009-01-02 07:30:00,0.91300,0.91265,0.91300,0.91180,0
2009-01-02 08:00:00,0.91265,0.91220,0.91335,0.91110,0
2009-01-02 08:30:00,0.91190,0.91190,0.91320,0.91175,0
2009-01-02 09:00:00,0.91185,0.91195,0.91265,0.91115,0
2009-01-02 09:30:00,0.91185,0.91220,0.91255,0.91175,0
2009-01-02 10:00:00,0.91225,0.91155,0.91260,0.91120,0
2009-01-02 10:30:00,0.91155,0.91165,0.91215,0.91130,0
2009-01-02 11:00:00,0.91150,0.91160,0.91230,0.91130,0
2009-01-02 11:30:00,0.91160,0.91220,0.91250,0.91150,0
2009-01-02 12:00:00,0.91225,0.91250,0.91265,0.91155,0
2009-01-02 12:30:00,0.91250,0.91400,0.91465,0.91235,0
2009-01-02 13:00:00,0.91400,0.91340,0.91405,0.91235,0
2009-01-02 13:30:00,0.91340,0.91190,0.91340,0.91180,0
2009-01-02 14:00:00,0.91190,0.91150,0.91220,0.91150,0
2009-01-02 14:30:00,0.91155,0.91200,0.91205,0.91115,0
2009-01-02 15:00:00,0.91195,0.90895,0.91205,0.90805,0
2009-01-02 15:30:00,0.90895,0.90970,0.91070,0.90855,0
2009-01-02 16:00:00,0.90960,0.90995,0.91030,0.90930,0
2009-01-02 16:30:00,0.90990,0.91140,0.91220,0.90935,0
2009-01-02 17:00:00,0.91145,0.91385,0.91405,0.91110,0
2009-01-02 17:30:00,0.91385,0.91385,0.91450,0.91345,0
2009-01-02 18:00:00,0.91385,0.91465,0.91490,0.91375,0
2009-01-02 18:30:00,0.91465,0.91900,0.91935,0.91435,0
2009-01-02 19:00:00,0.91890,0.92325,0.92340,0.91805,0
2009-01-02 19:30:00,0.92330,0.92215,0.92440,0.92215,0
2009-01-02 20:00:00,0.92200,0.92225,0.92230,0.92120,0
2009-01-02 20:30:00,0.92225,0.92305,0.92310,0.92210,0
2009-01-02 21:00:00,0.92305,0.92165,0.92305,0.92165,0
2009-01-02 21:30:00,0.92165,0.91870,0.92190,0.91785,0
2009-01-04 22:00:00,0.91980,0.92010,0.92045,0.91885,0
2009-01-04 22:30:00,0.92010,0.92170,0.92210,0.92010,0
2009-01-04 23:00:00,0.92170,0.92100,0.92215,0.92080,0
2009-01-04 23:30:00,0.92095,0.92085,0.92175,0.92075,0
2009-01-05 00:00:00,0.92085,0.91980,0.92090,0.91930,0
2009-01-05 00:30:00,0.91985,0.92100,0.92155,0.91970,0
2009-01-05 01:00:00,0.92110,0.92035,0.92180,0.92005,0
2009-01-05 01:30:00,0.92035,0.92045,0.92085,0.92005,0
2009-01-05 02:00:00,0.92045,0.92055,0.92165,0.92020,0
2009-01-05 02:30:00,0.92055,0.91995,0.92070,0.91945,0
2009-01-05 03:00:00,0.91995,0.91990,0.92015,0.91940,0
2009-01-05 03:30:00,0.91990,0.91985,0.92030,0.91970,0
2009-01-05 04:00:00,0.91985,0.92050,0.92055,0.91950,0
2009-01-05 04:30:00,0.92050,0.92050,0.92110,0.91995,0
2009-01-05 05:00:00,0.92050,0.92030,0.92055,0.91970,0
2009-01-05 05:30:00,0.92030,0.92015,0.92030,0.91970,0
2009-01-05 06:00:00,0.92015,0.91970,0.92025,0.91930,0
2009-01-05 06:30:00,0.91970,0.91935,0.92035,0.91920,0
2009-01-05 07:00:00,0.91935,0.91905,0.91955,0.91810,0
2009-01-05 07:30:00,0.91910,0.92035,0.92045,0.91905,0
2009-01-05 08:00:00,0.92035,0.92710,0.92745,0.92020,0
2009-01-05 08:30:00,0.92715,0.92945,0.92975,0.92570,0
2009-01-05 09:00:00,0.92945,0.92980,0.93030,0.92825,0
2009-01-05 09:30:00,0.92965,0.93000,0.93405,0.92965,0
2009-01-05 10:00:00,0.92995,0.93065,0.93140,0.92955,0
2009-01-05 10:30:00,0.93065,0.93200,0.93215,0.93000,0
2009-01-05 11:00:00,0.93195,0.93240,0.93295,0.93110,0
2009-01-05 11:30:00,0.93240,0.93345,0.93380,0.93195,0
2009-01-05 12:00:00,0.93330,0.93470,0.93475,0.93195,0
2009-01-05 12:30:00,0.93470,0.93555,0.93580,0.93380,0
2009-01-05 13:00:00,0.93555,0.93335,0.93575,0.93270,0
2009-01-05 13:30:00,0.93335,0.93115,0.93375,0.93090,0
2009-01-05 14:00:00,0.93120,0.93060,0.93190,0.92885,0
2009-01-05 14:30:00,0.93065,0.92905,0.93115,0.92870,0
2009-01-05 15:00:00,0.92905,0.92970,0.93130,0.92905,0
2009-01-05 15:30:00,0.92970,0.93050,0.93170,0.92910,0
2009-01-05 16:00:00,0.93060,0.93120,0.93255,0.93035,0
