time,open,close,high,low
2014-01-01 22:00:00,1.05269,1.05366,1.05402,1.05264,0
2014-01-01 22:30:00,1.05369,1.05373,1.05393,1.05354,0
2014-01-01 23:00:00,1.05370,1.05365,1.05412,1.05343,0
2014-01-01 23:30:00,1.05363,1.05338,1.05365,1.05279,0
2014-01-02 00:00:00,1.05336,1.05299,1.05338,1.05250,0
2014-01-02 00:30:00,1.05297,1.05321,1.05323,1.05258,0
2014-01-02 01:00:00,1.05322,1.05317,1.05335,1.05276,0
2014-01-02 01:30:00,1.05317,1.05309,1.05323,1.05280,0
2014-01-02 02:00:00,1.05304,1.05285,1.05327,1.05268,0
2014-01-02 02:30:00,1.05285,1.05246,1.05291,1.05241,0
2014-01-02 03:00:00,1.05245,1.05285,1.05294,1.05244,0
2014-01-02 03:30:00,1.05285,1.05286,1.05303,1.05274,0
2014-01-02 04:00:00,1.05286,1.05280,1.05297,1.05269,0
2014-01-02 04:30:00,1.05281,1.05297,1.05308,1.05270,0
2014-01-02 05:00:00,1.05293,1.05315,1.05320,1.05293,0
2014-01-02 05:30:00,1.05314,1.05308,1.05325,1.05284,0
2014-01-02 06:00:00,1.05307,1.05293,1.05321,1.05287,0
2014-01-02 06:30:00,1.05293,1.05328,1.05333,1.05282,0
2014-01-02 07:00:00,1.05328,1.05337,1.05350,1.05288,0
2014-01-02 07:30:00,1.05338,1.05369,1.05389,1.05318,0
2014-01-02 08:00:00,1.05369,1.05347,1.05400,1.05344,0
2014-01-02 08:30:00,1.05346,1.05362,1.05364,1.05318,0
2014-01-02 09:00:00,1.05361,1.05379,1.05405,1.05349,0
2014-01-02 09:30:00,1.05379,1.05372,1.05399,1.05351,0
2014-01-02 10:00:00,1.05370,1.05344,1.05376,1.05334,0
2014-01-02 10:30:00,1.05342,1.05391,1.05395,1.05331,0
2014-01-02 11:00:00,1.05391,1.05408,1.05446,1.05379,0
2014-01-02 11:30:00,1.05408,1.05399,1.05427,1.05376,0
2014-01-02 12:00:00,1.05398,1.05411,1.05430,1.05372,0
2014-01-02 12:30:00,1.05408,1.05387,1.05436,1.05379,0
2014-01-02 13:00:00,1.05387,1.05266,1.05395,1.05250,0
2014-01-02 13:30:00,1.05266,1.05111,1.05333,1.05089,0
2014-01-02 14:00:00,1.05109,1.04936,1.05125,1.04907,0
2014-01-02 14:30:00,1.04936,1.04866,1.04973,1.04790,0
2014-01-02 15:00:00,1.04869,1.04800,1.05007,1.04667,0
2014-01-02 15:30:00,1.04800,1.05028,1.05028,1.04800,0
2014-01-02 16:00:00,1.05028,1.04961,1.05044,1.04936,0
2014-01-02 16:30:00,1.04961,1.04847,1.04970,1.04781,0
2014-01-02 17:00:00,1.04846,1.04832,1.04912,1.04825,0
2014-01-02 17:30:00,1.04832,1.04848,1.04879,1.04776,0
2014-01-02 18:00:00,1.04849,1.04766,1.04869,1.04750,0
2014-01-02 18:30:00,1.04767,1.04680,1.04780,1.04643,0
2014-01-02 19:00:00,1.04681,1.04617,1.04724,1.04558,0
2014-01-02 19:30:00,1.04619,1.04708,1.04729,1.04551,0
2014-01-02 20:00:00,1.04709,1.04752,1.04770,1.04707,0
2014-01-02 20:30:00,1.04751,1.04757,1.04800,1.04738,0
2014-01-02 21:00:00,1.04756,1.04701,1.04775,1.04701,0
2014-01-02 21:30:00,1.04701,1.04808,1.04834,1.04671,0
2014-01-02 22:00:00,1.04809,1.04827,1.04847,1.04769,0
2014-01-02 22:30:00,1.04825,1.04837,1.04842,1.04763,0
2014-01-02 23:00:00,1.04836,1.04829,1.04864,1.04766,0
2014-01-02 23:30:00,1.04827,1.04845,1.04866,1.04827,0
2014-01-03 00:00:00,1.04844,1.04811,1.04852,1.04779,0
2014-01-03 00:30:00,1.04811,1.04823,1.04837,1.04788,0
2014-01-03 01:00:00,1.04823,1.04859,1.04873,1.04799,0
2014-01-03 01:30:00,1.04857,1.04780,1.04863,1.04779,0
2014-01-03 02:00:00,1.04780,1.04455,1.04782,1.04382,0
2014-01-03 02:30:00,1.04454,1.04314,1.04455,1.04162,0
2014-01-03 03:00:00,1.04315,1.04353,1.04389,1.04257,0
2014-01-03 03:30:00,1.04353,1.04269,1.04353,1.04165,0
2014-01-03 04:00:00,1.04271,1.04266,1.04345,1.04233,0
2014-01-03 04:30:00,1.04265,1.04213,1.04289,1.04205,0
2014-01-03 05:00:00,1.04214,1.04190,1.04229,1.04085,0
2014-01-03 05:30:00,1.04190,1.04226,1.04232,1.04078,0
2014-01-03 06:00:00,1.04225,1.04188,1.04256,1.04143,0
2014-01-03 06:30:00,1.04187,1.04279,1.04327,1.04185,0
2014-01-03 07:00:00,1.04279,1.04350,1.04361,1.04247,0
2014-01-03 07:30:00,1.04350,1.04371,1.04463,1.04336,0
2014-01-03 08:00:00,1.04370,1.04238,1.04388,1.04226,0
2014-01-03 08:30:00,1.04239,1.04396,1.04402,1.04215,0
2014-01-03 09:00:00,1.04395,1.04382,1.04408,1.04341,0
2014-01-03 09:30:00,1.04383,1.04320,1.04406,1.04263,0
2014-01-03 10:00:00,1.04321,1.04372,1.04397,1.04305,0
2014-01-03 10:30:00,1.04373,1.04419,1.04424,1.04365,0
2014-01-03 11:00:00,1.04419,1.04462,1.04495,1.04377,0
2014-01-03 11:30:00,1.04464,1.04423,1.04500,1.04391,0
2014-01-03 12:00:00,1.04423,1.04374,1.04429,1.04325,0
2014-01-03 12:30:00,1.04374,1.04477,1.04538,1.04370,0
2014-01-03 13:00:00,1.04476,1.04509,1.04510,1.04453,0
2014-01-03 13:30:00,1.04511,1.04465,1.04515,1.04392,0
2014-01-03 14:00:00,1.04461,1.04309,1.04463,1.04301,0
2014-01-03 14:30:00,1.04309,1.04444,1.04451,1.04309,0
2014-01-03 15:00:00,1.04445,1.04375,1.04456,1.04347,0
2014-01-03 15:30:00,1.04374,1.04473,1.04493,1.04337,0
2014-01-03 16:00:00,1.04473,1.04532,1.04593,1.04466,0
2014-01-03 16:30:00,1.04531,1.04458,1.04590,1.04458,0
2014-01-03 17:00:00,1.04457,1.04540,1.04554,1.04446,0
2014-01-03 17:30:00,1.04540,1.04494,1.04540,1.04472,0
2014-01-03 18:00:00,1.04491,1.04475,1.04491,1.04407,0
2014-01-03 18:30:00,1.04474,1.04470,1.04500,1.04428,0
2014-01-03 19:00:00,1.04471,1.04484,1.04491,1.04440,0
2014-01-03 19:30:00,1.04484,1.04660,1.04665,1.04478,0
2014-01-03 20:00:00,1.04661,1.04801,1.04837,1.04644,0
2014-01-03 20:30:00,1.04799,1.04782,1.04807,1.04747,0
2014-01-03 21:00:00,1.04782,1.04839,1.04839,1.04764,0
2014-01-03 21:30:00,1.04844,1.04860,1.04897,1.04795,0
2014-01-05 22:00:00,1.04842,1.04838,1.04859,1.04838,0
2014-01-05 22:30:00,1.04841,1.04856,1.04875,1.04813,0
